{'cf': 'ri', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'plus', 'pred': 'i'}
train_epoch: 1001, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.4678]
train_epoch: 1002, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.4775]
train_epoch: 1003, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.4843]
train_epoch: 1004, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.4915]
train_epoch: 1005, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.4984]
train_epoch: 1006, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.5051]
train_epoch: 1007, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.5121]
train_epoch: 1008, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.5194]
train_epoch: 1009, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.5263]
train_epoch: 1010, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.5334]
train_epoch: 1011, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.5406]
train_epoch: 1012, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.5477]
train_epoch: 1013, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.5548]
train_epoch: 1014, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.5615]
train_epoch: 1015, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.5681]
train_epoch: 1016, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.5757]
train_epoch: 1017, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.5833]
train_epoch: 1018, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.5901]
train_epoch: 1019, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.5984]
train_epoch: 1020, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.6072]
train_epoch: 1021, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.6152]
train_epoch: 1022, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.6226]
train_epoch: 1023, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.6301]
train_epoch: 1024, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.6374]
train_epoch: 1025, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.6445]
train_epoch: 1026, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.6511]
train_epoch: 1027, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.6576]
train_epoch: 1028, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.6638]
train_epoch: 1029, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.6706]
train_epoch: 1030, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.6775]
train_epoch: 1031, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.6844]
train_epoch: 1032, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.6912]
train_epoch: 1033, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.6985]
train_epoch: 1034, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.7072]
train_epoch: 1035, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.7152]
train_epoch: 1036, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.7237]
train_epoch: 1037, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.7320]
train_epoch: 1038, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.7393]
train_epoch: 1039, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.7468]
train_epoch: 1040, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.7548]
train_epoch: 1041, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.7635]
train_epoch: 1042, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.7724]
train_epoch: 1043, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.7807]
train_epoch: 1044, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.7884]
train_epoch: 1045, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.7965]
train_epoch: 1046, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.8039]
train_epoch: 1047, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.8120]
train_epoch: 1048, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.8211]
train_epoch: 1049, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.8295]
train_epoch: 1050, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.8371]
train_epoch: 1051, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.8454]
train_epoch: 1052, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.8526]
train_epoch: 1053, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.8598]
train_epoch: 1054, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.8672]
train_epoch: 1055, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.8748]
train_epoch: 1056, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.8815]
train_epoch: 1057, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.8884]
train_epoch: 1058, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.8955]
train_epoch: 1059, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.9021]
train_epoch: 1060, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.9086]
train_epoch: 1061, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.9153]
train_epoch: 1062, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.9220]
train_epoch: 1063, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.9286]
train_epoch: 1064, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.9351]
train_epoch: 1065, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.9417]
train_epoch: 1066, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.9486]
train_epoch: 1067, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.9552]
train_epoch: 1068, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.9620]
train_epoch: 1069, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.9723]
train_epoch: 1070, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.9797]
train_epoch: 1071, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.9867]
train_epoch: 1072, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [6.9939]
train_epoch: 1073, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.0044]
train_epoch: 1074, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.0133]
train_epoch: 1075, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.0210]
train_epoch: 1076, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.0296]
train_epoch: 1077, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.0375]
train_epoch: 1078, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.0449]
train_epoch: 1079, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.0525]
train_epoch: 1080, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.0598]
train_epoch: 1081, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.0669]
train_epoch: 1082, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.0742]
train_epoch: 1083, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.0814]
train_epoch: 1084, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.0881]
train_epoch: 1085, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.0946]
train_epoch: 1086, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.1014]
train_epoch: 1087, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.1086]
train_epoch: 1088, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.1158]
train_epoch: 1089, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.1232]
train_epoch: 1090, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.1310]
train_epoch: 1091, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.1380]
train_epoch: 1092, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.1449]
train_epoch: 1093, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.1518]
train_epoch: 1094, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.1590]
train_epoch: 1095, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.1658]
train_epoch: 1096, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.1729]
train_epoch: 1097, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.1798]
train_epoch: 1098, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.1868]
train_epoch: 1099, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.1935]
train_epoch: 1100, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.2006]
train_epoch: 1101, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.2075]
train_epoch: 1102, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.2146]
train_epoch: 1103, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.2222]
train_epoch: 1104, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.2298]
train_epoch: 1105, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.2363]
train_epoch: 1106, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.2452]
train_epoch: 1107, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.2538]
train_epoch: 1108, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.2613]
train_epoch: 1109, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.2686]
train_epoch: 1110, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.2768]
train_epoch: 1111, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.2848]
train_epoch: 1112, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.2927]
train_epoch: 1113, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.3012]
train_epoch: 1114, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.3093]
train_epoch: 1115, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.3170]
train_epoch: 1116, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.3248]
train_epoch: 1117, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.3323]
train_epoch: 1118, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.3392]
train_epoch: 1119, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.3471]
train_epoch: 1120, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.3548]
train_epoch: 1121, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.3618]
train_epoch: 1122, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.3697]
train_epoch: 1123, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.3800]
train_epoch: 1124, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.3893]
train_epoch: 1125, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.3978]
train_epoch: 1126, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4056]
train_epoch: 1127, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4125]
train_epoch: 1128, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4206]
train_epoch: 1129, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4287]
train_epoch: 1130, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4360]
train_epoch: 1131, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4436]
train_epoch: 1132, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4515]
train_epoch: 1133, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4585]
train_epoch: 1134, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4664]
train_epoch: 1135, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4743]
train_epoch: 1136, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4813]
train_epoch: 1137, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4900]
train_epoch: 1138, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [7.4980]
